2023-11-03 09:50:08.989 [info] Extension host with pid 826692 started
2023-11-03 09:50:09.128 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2023-11-03 09:50:09.129 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2023-11-03 09:50:10.188 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2023-11-03 09:50:10.243 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2023-11-03 09:50:10.244 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-11-03 09:50:10.554 [info] Eager extensions activated
2023-11-03 09:50:10.591 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:10.592 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:10.592 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:48.062 [info] Extension host terminating: received terminate message from renderer
2023-11-03 09:50:48.073 [info] Extension host with pid 826692 exiting with code 0
2023-11-03 09:50:51.100 [info] Extension host with pid 826947 started
2023-11-03 09:50:51.100 [info] Skipping acquiring lock for /home/TDIW/tdiw-k11/.config/Code/User/workspaceStorage/21f693c350b61dcfff1d09dfd619fad9.
2023-11-03 09:50:51.224 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2023-11-03 09:50:51.226 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2023-11-03 09:50:51.585 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-11-03 09:50:51.612 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2023-11-03 09:50:51.742 [info] Eager extensions activated
2023-11-03 09:50:51.810 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:51.810 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:51.811 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-11-03 09:50:51.819 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: 'api', root cause: vscode.github
2023-11-03 09:50:54.073 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2206
2023-11-03 09:50:55.287 [info] ExtensionService#_doActivateExtension vscode.php-language-features, startup: false, activationEvent: 'onLanguage:php'
2023-11-03 09:50:56.149 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2221
2023-11-03 09:50:59.467 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2221
2023-11-03 09:51:05.544 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2221
2023-11-03 09:51:11.540 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:51:17.532 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2222
2023-11-03 09:51:23.389 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2222
2023-11-03 09:51:29.389 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:51:35.288 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:51:41.162 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:51:47.091 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:51:52.953 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:51:58.973 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:52:04.905 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:52:10.862 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:52:16.802 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:52:22.634 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2224
2023-11-03 09:52:28.496 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:52:34.371 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:52:40.378 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:52:46.254 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:52:52.236 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2223
2023-11-03 09:52:58.085 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:04.083 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:10.004 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:16.039 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:21.842 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:27.714 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
2023-11-03 09:53:33.536 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2226
